DATE,Adj CLOSE,CLOSE,HIGH,LOW,OPEN,VOLUME,SEC_ID
2007-12-04,42.11011505126953,143.6699981689453,143.6699981689453,142.8000030517578,142.8000030517578,633,JNK
2007-12-05,42.118927001953125,143.6999969482422,143.6999969482422,143.6999969482422,143.6999969482422,2000,JNK
2007-12-06,42.01340103149414,143.33999633789062,143.33999633789062,143.22000122070312,143.22000122070312,1033,JNK
2007-12-07,42.0397834777832,143.42999267578125,143.42999267578125,143.39999389648438,143.39999389648438,4267,JNK
2007-12-10,42.24201583862305,144.1199951171875,144.1199951171875,143.75999450683594,143.75999450683594,2567,JNK
2007-12-11,42.20683670043945,144.0,144.69000244140625,144.0,144.69000244140625,2133,JNK
2007-12-12,42.10133361816406,143.63999938964844,144.38999938964844,143.63999938964844,144.27000427246094,3500,JNK
2007-12-13,42.11011505126953,143.6699981689453,144.05999755859375,143.6699981689453,144.05999755859375,1967,JNK
2007-12-14,42.11011505126953,143.6699981689453,144.14999389648438,143.6699981689453,144.14999389648438,1000,JNK
2007-12-17,42.14531707763672,143.7899932861328,144.2100067138672,143.63999938964844,144.2100067138672,300,JNK
2007-12-18,42.2596549987793,144.17999267578125,144.36000061035156,144.17999267578125,144.36000061035156,67,JNK
2007-12-19,42.23324966430664,144.08999633789062,144.08999633789062,143.5800018310547,143.5800018310547,333,JNK
2007-12-20,42.21566390991211,144.02999877929688,144.4199981689453,143.8800048828125,144.4199981689453,600,JNK
2007-12-21,42.14531707763672,143.7899932861328,144.3300018310547,143.7899932861328,144.3300018310547,500,JNK
2007-12-24,42.09254455566406,143.61000061035156,143.8800048828125,143.61000061035156,143.8800048828125,1467,JNK
2007-12-26,42.07493209838867,143.5500030517578,143.6999969482422,143.3699951171875,143.6999969482422,733,JNK
2007-12-27,42.07493209838867,143.5500030517578,143.5500030517578,143.5500030517578,143.5500030517578,0,JNK
2007-12-28,42.42219543457031,143.6699981689453,143.75999450683594,143.0399932861328,143.75999450683594,2400,JNK
2007-12-31,42.40448760986328,143.61000061035156,143.94000244140625,143.39999389648438,143.94000244140625,1267,JNK
2008-01-02,42.49309158325195,143.91000366210938,143.97000122070312,143.91000366210938,143.94000244140625,767,JNK
2008-01-03,42.12100601196289,142.64999389648438,144.05999755859375,142.64999389648438,144.05999755859375,1433,JNK
2008-01-04,41.722373962402344,141.3000030517578,143.19000244140625,140.49000549316406,143.19000244140625,6700,JNK
2008-01-07,41.96155548095703,142.11000061035156,142.41000366210938,141.24000549316406,142.41000366210938,1133,JNK
2008-01-08,42.067893981933594,142.47000122070312,142.8000030517578,141.0,142.8000030517578,1433,JNK
2008-01-09,41.660404205322266,141.08999633789062,142.58999633789062,141.08999633789062,141.69000244140625,1400,JNK
2008-01-10,41.430076599121094,140.30999755859375,141.3000030517578,138.0,141.3000030517578,12700,JNK
2008-01-11,41.26176834106445,139.74000549316406,140.72999572753906,138.77999877929688,140.5500030517578,1667,JNK
2008-01-14,41.27947235107422,139.8000030517578,140.5800018310547,139.67999267578125,140.5800018310547,567,JNK
2008-01-15,41.0845947265625,139.13999938964844,139.44000244140625,139.13999938964844,139.44000244140625,467,JNK
2008-01-16,41.306034088134766,139.88999938964844,140.3699951171875,139.88999938964844,140.3699951171875,1767,JNK
2008-01-17,40.65940856933594,137.6999969482422,138.8699951171875,136.8000030517578,138.8699951171875,1133,JNK
2008-01-18,40.685943603515625,137.7899932861328,138.5399932861328,137.7899932861328,138.5399932861328,600,JNK
2008-01-22,40.73912048339844,137.97000122070312,138.0,136.47000122070312,138.0,2600,JNK
2008-01-23,40.730281829833984,137.94000244140625,138.02999877929688,136.55999755859375,137.91000366210938,1400,JNK
2008-01-24,40.641693115234375,137.63999938964844,138.4499969482422,137.63999938964844,137.97000122070312,1533,JNK
2008-01-25,40.18993377685547,136.11000061035156,138.92999267578125,132.92999267578125,138.92999267578125,8533,JNK
2008-01-28,40.517696380615234,137.22000122070312,137.25,136.1999969482422,137.1300048828125,13067,JNK
2008-01-29,40.570831298828125,137.39999389648438,137.6999969482422,136.9199981689453,137.5500030517578,23200,JNK
2008-01-30,41.27947235107422,139.8000030517578,141.0,139.02000427246094,139.1999969482422,489567,JNK
2008-01-31,41.412353515625,140.25,140.39999389648438,138.75,139.5,12500,JNK
2008-02-01,41.62810134887695,140.07000732421875,143.8800048828125,140.07000732421875,140.72999572753906,24100,JNK
2008-02-04,41.01289749145508,138.0,140.94000244140625,137.85000610351562,140.94000244140625,13733,JNK
