DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,SEC_ID
2024-02-12,177.20021057128906,177.7390542668572,175.03505901617976,175.03505901617976,348700,VBR
2024-02-13,172.04693603515625,173.54589168233278,170.65574912499477,173.14420684898647,7756100,VBR
2024-02-14,174.61376953125,174.92728401533756,172.58577690313479,173.91818356212005,313900,VBR
2024-02-15,177.84683227539062,178.0721614873928,175.46614311797197,175.46614311797197,375500,VBR
2024-02-16,176.64178466796875,178.15053207692526,175.99517222876136,176.45563730372476,373900,VBR
2024-02-20,175.60328674316406,176.181312256023,174.89789410234883,175.40733271578716,975200,VBR
2024-02-21,175.89718627929688,176.0637501908846,174.82930560613596,175.23099042971904,374700,VBR
2024-02-22,177.0042724609375,177.28839684252603,176.05395219693756,176.4164552027852,577800,VBR
2024-02-23,177.66067504882812,178.32688587453706,176.76913502361487,177.17081986343982,364000,VBR
2024-02-26,177.1414337158203,178.36607170672022,176.65157851946034,177.66067902802632,742800,VBR
2024-02-27,178.28768920898438,178.4444464562214,177.62149333201785,178.12114023974274,305600,VBR
2024-02-28,177.8860321044922,178.6697884986258,177.05327224923153,177.46474884091015,358500,VBR
2024-02-29,178.88531494140625,179.72786646732803,177.8664227224561,179.08125402783583,432600,VBR
2024-03-01,179.72787475585938,179.8454501724946,177.8370408082829,179.21842114829275,960700,VBR
2024-03-04,179.91400146484375,181.14843107877323,179.79644101090562,180.13933065128953,676200,VBR
2024-03-05,180.01199340820312,181.07987415123833,179.1596351988681,179.29679405623781,382700,VBR
2024-03-06,180.62918090820312,181.2561948941853,179.81601957573997,181.00147560116503,1227200,VBR
2024-03-07,182.10858154296875,182.76498574448541,181.62851804520508,181.7068966743825,403500,VBR
2024-03-08,181.8440399169922,184.17575534983322,181.52073370535672,183.01968935527063,325700,VBR
2024-03-11,181.55992126464844,182.03996974758385,180.49202566865657,181.36396724389866,318400,VBR
2024-03-12,181.80487060546875,182.30451754013106,180.62920613700146,181.4227691887806,270600,VBR
2024-03-13,182.5788116455078,183.22542402968335,181.736260191665,181.80484708810457,270600,VBR
2024-03-14,180.2079315185547,182.42207161812294,179.00289192469538,182.2359242521621,270400,VBR
2024-03-15,180.462646484375,181.40317501367744,179.37516737980368,179.86502256295844,350200,VBR
2024-03-18,180.04136657714844,181.0602587146749,179.8748176195332,180.6683805731323,758000,VBR
2024-03-19,181.40318298339844,181.55013356512342,179.78665183845118,179.78665183845118,282400,VBR
2024-03-20,184.03860473632812,184.4794714267687,180.63900845023778,181.0896668629746,379200,VBR
2024-03-21,186.17825317382812,186.49333442617768,184.83912404595327,184.89820084173024,380300,VBR
2024-03-22,184.2187957763672,186.49334266193097,184.179416252316,186.39488633949392,394500,VBR
2024-03-25,184.39602661132812,185.5874486835221,184.33694981761496,184.74064624952723,409400,VBR
2024-03-26,184.14987182617188,185.48900096935645,184.1203334279457,185.2723760326194,533500,VBR
2024-03-27,187.97030639648438,188.0097009417326,185.2034330651596,185.2034330651596,481600,VBR
2024-03-28,188.93528747558594,189.48669094142988,188.13772067501753,188.13772067501753,368200,VBR
2024-04-01,187.23182678222656,189.26022528537536,187.1235143137313,189.1223744186194,510300,VBR
2024-04-02,184.72096252441406,186.07977384280312,183.98247255967033,186.0502354461827,1143800,VBR
2024-04-03,185.46929931640625,185.75484216738965,184.32709786323812,184.49448712410666,441600,VBR
2024-04-04,183.7559814453125,187.27120069723043,183.25381370558821,186.96596059908728,283300,VBR
2024-04-05,184.75050354003906,185.27236858721986,183.44091284770818,183.755994090998,499500,VBR
2024-04-08,185.61697387695312,186.32592540031536,185.1148061414948,185.5775943588178,831500,VBR
2024-04-09,186.04039001464844,186.8674951501028,184.65202530716803,186.27669718214028,266000,VBR
2024-04-10,181.688232421875,183.47045250367827,180.81189157959426,182.87965450960755,382600,VBR
2024-04-11,181.56021118164062,182.40701357303178,180.29985623044672,182.19038865723758,278500,VBR
2024-04-12,178.9804229736328,181.38297927420365,178.3207071082492,180.84141698930185,421000,VBR
2024-04-15,177.08004760742188,180.9300456541892,176.42033169288854,180.08324320687743,742600,VBR
2024-04-16,175.90830993652344,176.87328100964922,174.77596462625658,176.28248300669944,545200,VBR
2024-04-17,174.9236602783203,177.34591411160574,174.7956655605404,177.07021237768612,414600,VBR
2024-04-18,175.0713653564453,176.85358548263167,174.43133167616026,175.58338929574987,387800,VBR
2024-04-19,176.48927307128906,176.7255802611517,174.86458601789414,174.86458601789414,646300,VBR
2024-04-22,178.13363647460938,179.1576693208749,176.10525303083645,177.21790107036568,320900,VBR
2024-04-23,180.14231872558594,180.78235238711665,177.8579308761032,178.2714834602867,568100,VBR
2024-04-24,180.18170166015625,180.53617742727272,179.00996190150408,180.14230711680105,648300,VBR
2024-04-25,178.99026489257812,179.4924326364736,177.22774220255522,178.79333724936123,234800,VBR
2024-04-26,179.6598358154297,180.29001328465736,178.9311870128849,179.3250422969212,289000,VBR
2024-04-29,180.80203247070312,181.13682600832448,180.1226192960302,180.23093175901596,398800,VBR
2024-04-30,177.59207153320312,180.0438636831455,177.49360019238918,179.98477186388683,250800,VBR
2024-05-01,177.72007751464844,180.52633037312057,177.0603616140683,177.58222665519315,479500,VBR
2024-05-02,179.9749298095703,180.2407904087003,177.79885442022913,179.33491117143868,296600,VBR
2024-05-03,181.41253662109375,182.89935775440722,180.79220020952687,182.18056502369197,207000,VBR
2024-05-06,183.58860778808594,183.63784345881604,182.49564200619355,182.83042052777066,844400,VBR
2024-05-07,183.4015350341797,184.5240392979274,183.3030787099391,183.72647245587223,244400,VBR
2024-05-08,183.57875061035156,183.64766852365324,182.20022707354286,182.64333304674818,227600,VBR
2024-05-09,185.62686157226562,185.77455357114312,183.5787807149937,183.84464133759155,200400,VBR
2024-05-10,185.30189514160156,186.35546629277007,184.85880418971544,185.96161100767486,191700,VBR
