DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,SEC_ID
2024-02-12,149.68777465820312,150.01982459486467,148.7404443254873,148.91623020883975,1793700,VTV
2024-02-13,147.74427795410156,148.93576526842176,146.72859142331987,148.58417860350497,8312600,VTV
2024-02-14,148.6037139892578,148.70136784397437,147.73451570083225,148.35955699922636,5013700,VTV
2024-02-15,150.3909454345703,150.6058047786709,148.9553011363348,149.05295499136955,2609500,VTV
2024-02-16,150.0295867919922,150.79135543068338,149.81472744239616,150.11749463657998,2154800,VTV
2024-02-20,150.00027465820312,150.5569597108019,149.67798566493423,149.79519114567867,2091200,VTV
2024-02-21,150.69371032714844,150.72300797632616,148.21306674758515,149.94170255987723,1899500,VTV
2024-02-22,151.90472412109375,152.26608664205816,150.7913687124678,151.0648233811014,3554500,VTV
2024-02-23,152.3832550048828,152.83251041045602,152.00237070757143,152.11956129069506,1940300,VTV
2024-02-26,151.76800537109375,152.81300462274956,151.68011241595335,152.43212024831183,2737700,VTV
2024-02-27,151.98284912109375,152.06098115168172,151.63126243452842,152.03168350298137,1704800,VTV
2024-02-28,152.0023651123047,152.36371266507425,151.51405116438517,151.70937376312116,1745400,VTV
2024-02-29,152.18792724609375,152.71529975445358,151.78750623109957,152.54927479992995,1815000,VTV
2024-03-01,153.17431640625,153.2426875123519,152.02190263618215,152.4711431254035,2178800,VTV
2024-03-04,153.47708129882812,153.84820470040955,152.84227907185388,152.9887673081832,2105500,VTV
2024-03-05,152.88134765625,154.07283506370402,152.36373598440736,153.35990076323117,2128700,VTV
2024-03-06,153.8481903076172,154.49276829148545,153.41847165170503,153.61379424925812,1835300,VTV
2024-03-07,154.66856384277344,155.010389586513,154.35605064755316,154.58067090369522,2184200,VTV
2024-03-08,154.46348571777344,155.19595670668303,154.365816958388,154.81507238853646,1895300,VTV
2024-03-11,155.06898498535156,155.0787459000914,153.83843913093477,154.14119141162905,1914600,VTV
2024-03-12,155.4791717529297,155.78192404300202,154.78577423092412,155.43033737339795,2508800,VTV
2024-03-13,155.76239013671875,156.2507040898567,155.2740761835808,155.69401903024303,1596500,VTV
2024-03-14,154.81507873535156,155.94795591900004,153.94588038896487,155.82100440918694,2419000,VTV
2024-03-15,154.7369384765625,155.1178227900694,153.7798472353175,154.07282370558417,1921900,VTV
2024-03-18,155.07875061035156,155.51824512371212,154.59043661964907,155.19595610158922,2057300,VTV
2024-03-19,155.90887451171875,155.9870065305505,154.94200754360452,155.06897393697596,1637200,VTV
2024-03-20,157.1199188232422,157.2468703309159,155.5377713155289,155.81122596581793,1780600,VTV
2024-03-21,158.44271850585938,158.94392750892544,157.71546083833414,157.92184983720313,1779100,VTV
2024-03-22,157.6859893798828,158.80635045852569,157.64668504200588,158.6491031151539,2145800,VTV
2024-03-25,157.41082763671875,158.1086034108033,157.34204129050383,157.63686133990106,2073100,VTV
2024-03-26,157.32235717773438,157.87270784567554,157.24373351146693,157.69581584352204,3174500,VTV
2024-03-27,159.57290649414062,159.57290649414062,158.14788811391807,158.1872074462441,2749000,VTV
2024-03-28,160.05447387695312,160.4868965651511,159.6318735240572,159.76947619387633,3574000,VTV
2024-04-01,159.4254913330078,160.37878266601564,159.22893966552735,160.25101733398438,2411300,VTV
2024-04-02,158.40341186523438,158.7375662233137,157.88254315484852,158.4918728695116,2332500,VTV
2024-04-03,158.43289184570312,158.82599517118794,157.97098719049663,158.2166805179073,2862600,VTV
2024-04-04,156.8113250732422,159.7006813380302,156.48700804393616,159.3960239760576,1947000,VTV
2024-04-05,157.84324645996094,158.28549151903383,156.63443929957958,156.8408133290449,2928100,VTV
2024-04-08,157.8923797607422,158.23634145692495,157.6859907462868,157.90220209631352,1726300,VTV
2024-04-09,158.0299530029297,158.51150233278418,156.76216702122318,158.31495066778658,2350300,VTV
2024-04-10,156.03494262695312,156.87029104996347,155.35682655678838,156.40838633538553,2850200,VTV
2024-04-11,155.8580322265625,156.60494961907511,154.9145781462433,156.38873826818275,3314900,VTV
2024-04-12,153.58782958984375,155.3175054185256,153.11610254491822,155.08164939402903,2510900,VTV
2024-04-15,152.75245666503906,155.445261079111,152.35935331807784,155.1307814007283,2341500,VTV
2024-04-16,152.15298461914062,153.09643868314362,151.83848993385163,153.09643868314362,2322100,VTV
2024-04-17,151.9073028564453,153.02766401536178,151.46504279703285,152.801615319594,1964900,VTV
2024-04-18,152.1431427001953,153.19471740199876,151.80900335410007,152.4478000449252,2407400,VTV
2024-04-19,153.27333068847656,153.57798801256948,152.34952138578805,152.41830771900393,2424600,VTV
2024-04-22,154.36422729492188,155.2192353661814,153.1455828633429,153.7745572483022,2512200,VTV
2024-04-23,155.4059600830078,155.80888577372735,154.68852471528274,154.82611238926955,3211000,VTV
2024-04-24,155.51405334472656,155.67128567678412,154.63938570219707,155.0619710257433,1817900,VTV
2024-04-25,155.27818298339844,155.57301797559103,154.12834001018496,154.89490199232728,1930300,VTV
2024-04-26,155.1897430419922,155.58284638297243,154.619732700419,154.8261067058577,1692200,VTV
2024-04-29,155.78924560546875,155.9563152861431,155.13078921836424,155.39612724276532,1784500,VTV
2024-04-30,153.79420471191406,155.36663305157447,153.76472271151567,155.27818705037936,1912200,VTV
2024-05-01,153.3323211669922,155.0423374093883,153.12593213984104,153.4600715210066,2223800,VTV
2024-05-02,154.14801025390625,154.47231227205015,153.04729387391086,154.26593826050404,2730500,VTV
2024-05-03,155.0423126220703,155.3568072806051,154.11851830346848,155.17007795159142,1830800,VTV
2024-05-06,156.08409118652344,156.10373585903827,155.47476143209923,155.77941881134473,1685700,VTV
2024-05-07,156.58526611328125,156.90958309024558,156.3985367935809,156.47716045429314,1224400,VTV
2024-05-08,156.83096313476562,157.05699679219734,156.19215149985993,156.21181116448497,1347600,VTV
2024-05-09,158.1773681640625,158.1773681640625,156.8113138032479,156.8309734691684,1993200,VTV
2024-05-10,158.61961364746094,158.84566231639357,158.40340230948357,158.58030931143384,1308700,VTV
2024-05-13,158.48202514648438,159.53359982985427,158.39357914393867,159.06187282034588,1344200,VTV
2024-05-14,159.14048767089844,159.27809034144278,158.4034076292032,158.76704398033985,1335900,VTV
2024-05-15,160.5458526611328,160.6441359930393,159.6711849925166,159.7891129940596,1428200,VTV
2024-05-16,160.3984375,160.95861048524227,160.34929583562737,160.5556698316896,1277200,VTV
2024-05-17,160.8308563232422,160.8505159895423,160.27068329910816,160.57534064506737,1314000,VTV
2024-05-20,160.14292907714844,160.9881148355353,159.9856817276968,160.81122281435165,2009000,VTV
2024-05-21,160.25103759765625,160.36896561387027,159.83827454497427,159.9955218972149,1202700,VTV
2024-05-22,159.63186645507812,160.2510184581193,159.2092811168273,159.84807778960263,1130000,VTV
2024-05-23,157.61720275878906,159.87756958301995,157.39115407962038,159.87756958301995,2683900,VTV
2024-05-24,158.0791015625,158.50168691087862,157.80392622031593,158.1478879000803,1737300,VTV
2024-05-28,156.958740234375,158.02995959987103,156.49683555458654,158.02995959987103,2249100,VTV
2024-05-29,155.3175048828125,155.85803326364007,155.1504352007262,155.85803326364007,1979200,VTV
2024-05-30,155.98577880859375,156.1430261350454,155.17989750747688,155.31748516913947,1370600,VTV
2024-05-31,158.40341186523438,158.4820355379629,156.02510199994202,156.26097301812763,1539000,VTV
2024-06-03,157.5189208984375,158.59997764742133,156.32977347048745,158.59997764742133,2676900,VTV
2024-06-04,157.27322387695312,157.51891722363285,156.38873382727883,156.99804852834637,2197600,VTV
2024-06-05,158.02012634277344,158.03978600937998,156.6933912675026,157.69582432139057,1450000,VTV
2024-06-06,157.87271118164062,158.34443819328226,157.3616648380689,157.78426517869494,1278300,VTV
2024-06-07,157.6270294189453,158.62946251374228,157.13564270525126,157.51892374209532,1131000,VTV
2024-06-10,158.19703674316406,158.19703674316406,157.07667565747252,157.41081501729073,1061700,VTV
2024-06-11,157.24374389648438,157.52874158408667,156.35925383543943,157.52874158408667,1163200,VTV
2024-06-12,157.4894256591797,158.92428131487696,157.08648499606727,158.9046216494754,1564300,VTV
2024-06-13,157.86289978027344,158.0987558044641,156.83098468664227,158.0987558044641,1582600,VTV
2024-06-14,157.4304656982422,157.47960736504155,156.3002673455818,157.18477236017662,1935400,VTV
2024-06-17,158.658935546875,158.78670088391044,157.02752815062092,157.40098683061277,1550100,VTV
2024-06-18,159.2485809326172,159.64169925510976,158.68840794246998,158.845655271467,2399300,VTV
2024-06-20,159.52378845214844,159.81860848088456,158.84567239419079,159.10118808440617,1772400,VTV
2024-06-21,159.15032958984375,159.67119830131503,158.6687652168525,159.67119830131503,1306200,VTV
2024-06-24,160.14292907714844,160.90949116080947,159.3174029864262,159.54343667880505,1630800,VTV
2024-06-25,158.86529541015625,159.9463520212681,158.33460443483878,159.9463520212681,1589000,VTV
2024-06-26,158.37391662597656,158.6097876244487,157.90218962496328,158.52134162349577,1269200,VTV
2024-06-27,158.1810760498047,158.3689889557379,157.47887757357768,158.3689889557379,1533700,VTV
2024-06-28,158.64590454101562,159.48654766385522,157.9536057660355,158.7447957425948,2850500,VTV
2024-07-01,157.9931640625,159.7437028757097,157.77558228499453,159.15029528415258,2241100,VTV
2024-07-02,158.58657836914062,158.58657836914062,157.71625122226618,157.99317075245668,1471400,VTV
2024-07-03,158.7052459716797,159.16017870968497,158.46787991860182,158.8535903229897,1078500,VTV
2024-07-05,158.56678771972656,158.9524981277784,157.77558262626636,158.9524981277784,1198700,VTV
2024-07-08,158.79425048828125,159.46678008430825,158.44810864279552,158.77446621137355,1185000,VTV
2024-07-09,158.8140411376953,159.50633994742728,158.36899298079493,158.76458798893256,1620800,VTV
2024-07-10,160.3074188232422,160.35687196866562,158.81403041373454,159.06128104987044,1274100,VTV
2024-07-11,161.57334899902344,161.71180875858389,160.4360020519899,160.6041306821003,1509200,VTV
2024-07-12,162.49313354492188,163.36344558897912,161.86017247152463,161.99863223473707,1800000,VTV
2024-07-15,163.11618041992188,163.78870998924282,162.8392609181371,162.95795148388845,1812400,VTV
2024-07-16,165.4008026123047,165.46014035459262,163.4128976997655,163.5315882753236,2989800,VTV
2024-07-17,165.78651428222656,166.40957567194513,164.75794310484775,164.75794310484775,2297200,VTV
2024-07-18,164.44146728515625,166.81506749970004,164.15464807888475,165.37113214799692,2290600,VTV
2024-07-19,163.25465393066406,164.9161709278253,163.08651022146907,164.61946715233768,1582800,VTV
2024-07-22,164.0458526611328,164.0953058081922,162.78983025351843,163.70959540669975,1457200,VTV
2024-07-23,163.44256591796875,164.10519585584058,163.2843369694938,163.71948544152767,1525400,VTV
2024-07-24,162.43377685546875,163.72936772247394,162.33487056857558,163.165629050948,1517300,VTV
2024-07-25,163.00741577148438,164.7678391921606,162.30521728547032,162.43379245258126,2330900,VTV
2024-07-26,165.07443237304688,165.67772458017453,163.78872593758015,163.93707029548756,2210100,VTV
2024-07-29,164.82717895507812,165.27222711232844,164.13488014480183,165.25244283461134,1925400,VTV
2024-07-30,165.232666015625,165.8161739079778,164.70848077171885,165.09419116898377,2707200,VTV
2024-07-31,166.16232299804688,167.28978536929665,165.65793709992903,166.30078275974483,1843200,VTV
2024-08-01,164.38214111328125,166.8447481137271,163.70961144753662,166.23157128485838,2196600,VTV
2024-08-02,161.8700408935547,163.77882360748436,160.4261056630197,163.343660083439,2308900,VTV
2024-08-05,158.20086669921875,159.59534893276935,157.6470125522187,158.4678865427385,3435500,VTV
2024-08-06,159.4964599609375,161.39534321861316,158.2404223827989,158.6953702371818,3254600,VTV
2024-08-07,158.57666015625,161.7513648799017,158.46786927560197,160.89092242714705,1736100,VTV
2024-08-08,161.2964324951172,161.42500766389185,159.11074517184156,159.11074517184156,1341400,VTV
2024-08-09,161.57334899902344,162.0184122392367,160.27775801506883,161.19753827506335,1123000,VTV
2024-08-12,160.92062377929688,161.87005784849725,160.534913359125,161.7909358275668,1296800,VTV
2024-08-13,162.4733428955078,162.61180265329045,160.8909327285791,161.4744557208604,1623600,VTV
2024-08-14,163.44256591796875,163.8777294809848,162.62169194063978,162.67114508934293,1350500,VTV
2024-08-15,165.35134887695312,165.57881525191087,164.43156860180562,165.05464507558352,1428900,VTV
2024-08-16,165.84584045410156,165.95463133852292,164.97551337873077,165.41067691641618,1451800,VTV
2024-08-19,166.93373107910156,166.9930839075675,165.95462822863848,165.96451282122564,1387300,VTV
2024-08-20,166.4491424560547,166.93374407723516,166.23156067434755,166.8645217417732,1279100,VTV
2024-08-21,167.0821075439453,167.22056730918322,166.41947758952233,167.01287011583509,1250000,VTV
2024-08-22,166.7755126953125,167.7348464213019,166.3601334156545,167.48759577214963,1848800,VTV
2024-08-23,168.6249542236328,168.73374512031964,167.2799099968607,167.58649840816457,1279200,VTV
2024-08-26,168.8326416015625,169.68318444682157,168.55570698802921,169.06010797559045,1196000,VTV
2024-08-27,168.9117431640625,168.97109599499407,168.41724187650442,168.69417648124008,1007300,VTV
2024-08-28,168.7436065673828,169.4853584636867,167.89306378931508,168.70405310627822,1426700,VTV
2024-08-29,169.27769470214844,170.08866901589062,168.2095700449654,169.17878840221232,1487600,VTV
2024-08-30,170.9490966796875,171.07765674922683,169.03042931952453,169.76228154776476,1808600,VTV
2024-09-03,169.07989501953125,170.61283701195487,168.48648740950878,170.2370262771909,2203500,VTV
2024-09-04,168.98098754882812,169.96010557127937,168.5062705186922,168.90186552864174,1548100,VTV
2024-09-05,167.72494506835938,169.37657757734618,167.03264627581729,169.26778668916228,2455500,VTV
2024-09-06,165.5788116455078,168.12055554300193,165.34144559138565,167.45792561926555,2549000,VTV
2024-09-09,167.32936096191406,167.9919909272638,166.11289192647993,166.42936492753552,1402400,VTV
2024-09-10,167.5172576904297,167.93263695284853,166.27110481219182,167.80406179151123,1562200,VTV
2024-09-11,167.32936096191406,167.54694275244478,164.13488662418834,167.0623260206295,1790400,VTV
2024-09-12,168.338134765625,168.36780363556736,166.67660259394466,167.57659855814728,1731800,VTV
2024-09-13,169.54470825195312,169.7622900309463,168.802956302926,168.96120034055414,1264400,VTV
2024-09-16,170.88975524902344,170.95899267576246,169.95020578273235,170.0787809518292,1783600,VTV
2024-09-17,170.82052612304688,171.7007378119912,170.2567874110918,171.08756104402462,1344300,VTV
2024-09-18,170.4447021484375,172.4326070056809,170.27657351963762,170.89964997829384,1356300,VTV
