DATE,SEC_ID,SEC_NM,OPEN,HIGH,LOW,CLOSE,NUM_SHARES,AMOUNT,NUM_TRANSACTIONS
2016-12-30,600276,恒瑞医药,24.06,24.08,23.84,23.97,91334.88,218665040.0,6121
2017-01-03,600276,恒瑞医药,23.91,24.45,23.86,24.23,85535.42,206917584.0,6025
2017-01-04,600276,恒瑞医药,24.31,24.68,24.24,24.54,89193.31,218334288.0,8150
2017-01-05,600276,恒瑞医药,24.52,24.65,24.43,24.55,91546.41,224542752.0,7369
2017-01-06,600276,恒瑞医药,24.52,24.63,24.17,24.23,78489.22,190670592.0,5455
2017-01-09,600276,恒瑞医药,24.19,24.25,23.81,24.0,133928.5,321554272.0,9708
2017-01-10,600276,恒瑞医药,23.99,24.29,23.91,24.26,60995.38,147332560.0,4886
2017-01-11,600276,恒瑞医药,24.27,24.27,23.81,23.84,98231.33,235493120.0,5695
2017-01-12,600276,恒瑞医药,23.84,24.04,23.73,23.84,66278.16,158226272.0,4651
2017-01-13,600276,恒瑞医药,23.84,24.06,23.78,24.05,100700.5,240659088.0,5461
2017-01-16,600276,恒瑞医药,23.97,24.55,23.81,24.49,264378.81,641842560.0,8100
2017-01-17,600276,恒瑞医药,24.34,24.48,24.27,24.39,63844.56,155669152.0,3516
2017-01-18,600276,恒瑞医药,24.44,24.54,24.39,24.51,59872.18,146578944.0,3462
2017-01-19,600276,恒瑞医药,24.5,24.77,24.44,24.75,74095.63,182467872.0,5462
2017-01-20,600276,恒瑞医药,24.75,24.85,24.67,24.77,55302.63,137097104.0,6844
2017-01-23,600276,恒瑞医药,24.77,25.13,24.67,25.09,69325.77,173165232.0,6206
2017-01-24,600276,恒瑞医药,25.13,25.16,24.61,24.68,126872.93,316410592.0,8514
2017-01-25,600276,恒瑞医药,24.71,25.65,24.66,25.18,100996.27,255053984.0,7354
2017-01-26,600276,恒瑞医药,25.25,25.57,25.16,25.21,64533.46,163790720.0,4565
2017-02-03,600276,恒瑞医药,25.25,25.86,25.15,25.78,71620.85,183035760.0,7225
2017-02-06,600276,恒瑞医药,25.72,26.46,25.3,25.45,147902.98,380110272.0,12897
2017-02-07,600276,恒瑞医药,25.41,25.41,25.21,25.28,67275.94,170145552.0,6771
2017-02-08,600276,恒瑞医药,25.37,25.53,25.29,25.44,65986.13,167552688.0,6583
2017-02-09,600276,恒瑞医药,25.51,25.76,25.28,25.38,113617.3,288791104.0,7494
2017-02-10,600276,恒瑞医药,25.39,25.43,25.08,25.2,94972.18,239960608.0,11084
2017-02-13,600276,恒瑞医药,25.23,25.36,24.99,25.24,71598.38,180529968.0,8244
2017-02-14,600276,恒瑞医药,25.25,25.6,25.17,25.47,73805.47,187801488.0,8830
2017-02-15,600276,恒瑞医药,25.41,25.55,25.15,25.23,51869.38,131539280.0,5974
2017-02-16,600276,恒瑞医药,25.25,26.23,25.25,26.06,109762.85,283042176.0,11366
2017-02-17,600276,恒瑞医药,26.05,26.1,25.79,25.88,53945.43,139917168.0,6364
2017-02-20,600276,恒瑞医药,25.9,26.47,25.76,26.23,99086.84,258798800.0,7629
2017-02-21,600276,恒瑞医药,26.32,26.74,26.11,26.29,87227.71,230313472.0,9245
2017-02-22,600276,恒瑞医药,26.38,26.48,26.11,26.35,60207.27,158106816.0,6087
2017-02-23,600276,恒瑞医药,26.25,26.58,26.17,26.55,101731.97,268626240.0,8761
2017-02-24,600276,恒瑞医药,26.6,27.17,26.58,27.1,145851.27,392841600.0,13708
2017-02-27,600276,恒瑞医药,27.06,27.06,26.61,26.8,99949.83,267999568.0,11301
2017-02-28,600276,恒瑞医药,26.8,26.94,26.42,26.58,76684.61,203904320.0,8662
2017-03-01,600276,恒瑞医药,26.55,26.71,26.25,26.29,133748.78,353654304.0,10648
2017-03-02,600276,恒瑞医药,26.3,26.56,26.08,26.16,102390.91,268498656.0,10675
2017-03-03,600276,恒瑞医药,26.16,26.29,26.12,26.26,53293.97,139691680.0,4955
2017-03-06,600276,恒瑞医药,26.29,26.66,26.18,26.48,82384.85,217834912.0,7560
2017-03-07,600276,恒瑞医药,26.56,27.03,26.53,26.98,119334.38,320199616.0,9197
2017-03-08,600276,恒瑞医药,26.85,27.17,26.82,27.11,63893.23,172551648.0,6188
2017-03-09,600276,恒瑞医药,27.27,27.27,26.9,26.99,64119.75,173181824.0,6525
2017-03-10,600276,恒瑞医药,26.99,27.26,26.94,27.05,95954.98,259735264.0,10848
2017-03-13,600276,恒瑞医药,26.74,26.96,26.53,26.78,227577.17,609893696.0,22855
2017-03-14,600276,恒瑞医药,26.8,26.88,26.48,26.85,141968.73,378372128.0,14818
2017-03-15,600276,恒瑞医药,26.78,27.59,26.71,27.57,136195.48,370611040.0,11623
2017-03-16,600276,恒瑞医药,27.51,27.69,27.17,27.34,129987.94,355803264.0,13766
2017-03-17,600276,恒瑞医药,27.36,27.52,27.17,27.42,83182.32,227368336.0,7181
2017-03-20,600276,恒瑞医药,27.35,27.97,27.19,27.66,113617.3,314102144.0,11230
2017-03-21,600276,恒瑞医药,27.57,28.28,27.55,28.23,114826.61,322527744.0,9238
2017-03-22,600276,恒瑞医药,28.24,28.45,28.03,28.33,81121.25,229130128.0,10617
2017-03-23,600276,恒瑞医药,28.44,28.69,27.97,28.32,125989.34,356472608.0,11263
2017-03-24,600276,恒瑞医药,28.35,28.61,28.16,28.23,117129.17,331617344.0,14827
2017-03-27,600276,恒瑞医药,28.18,28.88,28.03,28.4,110288.88,313256576.0,9517
2017-03-28,600276,恒瑞医药,28.33,28.69,28.25,28.42,73878.48,210174912.0,8089
2017-03-29,600276,恒瑞医药,28.42,28.59,28.04,28.16,73215.79,206391920.0,7492
2017-03-30,600276,恒瑞医药,28.24,28.39,27.78,28.1,100807.2,282523040.0,7660
2017-03-31,600276,恒瑞医药,28.06,28.69,27.99,28.68,86701.68,245981728.0,7844
2017-04-05,600276,恒瑞医药,28.62,29.03,28.44,28.77,111556.23,320789792.0,9830
2017-04-06,600276,恒瑞医药,28.93,29.04,28.71,28.89,81886.9,236155280.0,10662
2017-04-07,600276,恒瑞医药,28.92,29.09,28.88,28.95,79202.45,229653120.0,7068
2017-04-10,600276,恒瑞医药,29.07,29.07,28.15,28.45,133069.25,379152640.0,12298
2017-04-11,600276,恒瑞医药,28.41,28.41,27.64,27.91,196311.03,548266432.0,15808
2017-04-12,600276,恒瑞医药,27.87,28.35,27.81,28.17,103512.24,290546304.0,10511
2017-04-13,600276,恒瑞医药,28.17,28.61,28.02,28.59,67393.88,191163488.0,6804
2017-04-14,600276,恒瑞医药,28.59,28.6,28.33,28.51,36850.32,104867432.0,3403
2017-04-17,600276,恒瑞医药,28.39,28.61,28.23,28.6,62200.95,176800432.0,5013
2017-04-18,600276,恒瑞医药,28.51,29.29,28.51,29.02,117305.13,340442176.0,9445
2017-04-19,600276,恒瑞医药,29.09,29.09,28.64,29.03,128224.52,369329696.0,9871
2017-04-20,600276,恒瑞医药,29.03,29.61,28.9,29.46,153919.58,452733536.0,14411
2017-04-21,600276,恒瑞医药,29.3,29.74,29.24,29.73,116904.53,344918752.0,9363
2017-04-24,600276,恒瑞医药,29.62,29.93,28.75,29.89,125592.48,370876032.0,9999
2017-04-25,600276,恒瑞医药,29.64,30.11,29.6,29.78,100844.64,300768608.0,11263
2017-04-26,600276,恒瑞医药,29.77,30.14,29.2,29.35,139623.13,412907712.0,14835
2017-04-27,600276,恒瑞医药,29.31,29.32,28.67,28.89,253702.8,733029440.0,21174
2017-04-28,600276,恒瑞医药,28.88,29.04,27.96,28.31,338607.38,958085696.0,22559
2017-05-02,600276,恒瑞医药,28.31,28.31,27.89,28.05,154383.84,432820512.0,14672
2017-05-03,600276,恒瑞医药,28.07,28.6,28.07,28.35,147895.48,419633568.0,15923
2017-05-04,600276,恒瑞医药,28.44,28.75,28.19,28.72,161096.83,459908864.0,18520
2017-05-05,600276,恒瑞医药,28.73,28.88,28.51,28.85,164803.39,472640704.0,15055
2017-05-08,600276,恒瑞医药,28.83,28.98,28.6,28.89,185095.88,533097344.0,13224
2017-05-09,600276,恒瑞医药,28.85,28.85,28.2,28.71,175129.34,500045504.0,18777
2017-05-10,600276,恒瑞医药,28.77,29.74,28.56,29.23,157405.25,456880736.0,14154
2017-05-11,600276,恒瑞医药,29.2,29.66,29.06,29.53,145765.16,429692480.0,13468
2017-05-12,600276,恒瑞医药,29.52,29.81,29.47,29.55,88311.6,261944432.0,10049
2017-05-15,600276,恒瑞医药,29.63,29.95,29.39,29.84,110977.77,328985376.0,10948
2017-05-16,600276,恒瑞医药,29.71,30.66,29.69,30.55,126975.89,384431552.0,12445
2017-05-17,600276,恒瑞医药,30.53,30.91,30.13,30.34,99579.17,303117664.0,12464
2017-05-18,600276,恒瑞医药,30.27,31.14,30.18,31.09,127106.93,388915168.0,11912
2017-05-19,600276,恒瑞医药,31.07,31.23,30.7,31.03,86282.35,267018992.0,9844
2017-05-22,600276,恒瑞医药,31.03,31.62,30.94,31.35,108489.89,338387392.0,10324
2017-05-23,600276,恒瑞医药,31.33,31.87,31.1,31.82,122763.89,387741504.0,11370
2017-05-24,600276,恒瑞医药,31.84,31.93,31.19,31.77,126204.63,397873856.0,14279
2017-05-25,600276,恒瑞医药,31.61,31.87,30.95,30.96,112250.73,351698720.0,13721
2017-05-26,600276,恒瑞医药,30.96,31.17,30.65,31.12,107237.52,331678560.0,12171
2017-05-31,600276,恒瑞医药,31.16,31.75,31.05,31.65,128143.08,403503072.0,13514
2017-06-01,600276,恒瑞医药,31.58,32.28,31.37,32.27,112516.55,358081824.0,13388
2017-06-02,600276,恒瑞医药,32.04,32.21,31.48,31.84,128411.4,408822400.0,20147
2017-06-05,600276,恒瑞医药,31.71,31.78,30.87,31.0,180594.95,563302528.0,27205
2017-06-06,600276,恒瑞医药,30.96,31.46,30.8,31.46,116407.2,363580960.0,17673
2017-06-07,600276,恒瑞医药,31.44,32.03,31.43,32.0,121562.99,386079968.0,16849
2017-06-08,600276,恒瑞医药,32.02,32.78,31.98,32.59,137776.08,448215776.0,18196
2017-06-09,600276,恒瑞医药,32.65,32.93,32.27,32.52,113647.55,369953792.0,15316
2017-06-12,600276,恒瑞医药,32.53,32.93,32.3,32.57,125283.59,408043904.0,16474
2017-06-13,600276,恒瑞医药,32.59,32.64,32.04,32.3,112755.23,364001568.0,15213
2017-06-14,600276,恒瑞医药,32.3,32.4,31.98,32.31,95411.16,306954080.0,12347
2017-06-15,600276,恒瑞医药,32.31,32.31,31.71,32.12,128506.55,410943744.0,19782
2017-06-16,600276,恒瑞医药,31.97,32.92,31.96,32.66,271761.34,879768128.0,28190
2017-06-19,600276,恒瑞医药,32.43,32.59,31.89,31.96,172024.31,552661568.0,24134
2017-06-20,600276,恒瑞医药,31.98,32.07,31.18,31.34,211734.11,665260288.0,26792
2017-06-21,600276,恒瑞医药,31.46,31.79,31.06,31.78,277009.19,871121536.0,30919
