"OBJECT_ID","WIND_CODE","S_INFO_WINDCODE","CITICS_IND_CODE","ENTRY_DT","REMOVE_DT","CUR_SIGN","OPDATE","OPMODE"
"{70D45862-F225-4ED9-917F-16BA04E7DC95}","600271.SH","600271.SH","b10r020200","20110901",NULL,"1","2020-01-06 13:43:10","0"
"{70E548E9-FEE4-443D-9F8B-DFBF9F01C320}","601158.SH","601158.SH","b104020200","20100413","20150130","0","2015-02-02 09:57:16","0"
"{70EF810E-83FA-4BB0-A20D-AC83442C069D}","300371.SZ","300371.SZ","b10p020100","20140207","20140430","0","2014-05-05 14:29:21","0"
"{70FAE0E9-3C3A-4AF9-8959-F2A7176DB955}","000983.SZ","000983.SZ","b102010300","20030101",NULL,"1","2014-02-10 15:43:17","0"
"{70FE508D-F6D5-41BF-A36A-3254B9912192}","002163.SZ","002163.SZ","b108020100","20070906","20191201","0","2020-02-10 17:37:54","0"
"{7120977A-E39E-11E6-88AB-C03FD5E531AD}","000987.SZ","000987.SZ","b10m030200","20170103",NULL,"1","2017-01-26 16:08:07","0"
"{7122803C-1CF2-41E0-8C6D-13D53F246F68}","600050.SH","600050.SH","b10q010100","20030101",NULL,"1","2014-02-10 15:43:16","0"
"{7134E4D0-0EA3-4A39-A9C4-BCF463FCA6FB}","600804.SH","600804.SH","b10q020200","20081101","20110504","0","2014-02-10 15:45:59","0"
"{713A5C74-8336-4998-A70E-89DFBB3CCAC1}","601801.SH","601801.SH","b10s010100","20100201",NULL,"1","2014-02-10 15:45:59","0"
"{714B9851-61B3-4C6E-B036-39FB89891F7D}","000150.SZ","000150.SZ","b10n010100","20071101","20180306","0","2018-03-06 10:35:11","0"
"{714C7CC2-9079-4CF7-8EAC-832CABF7B4FD}","601700.SH","601700.SH","b10b020100","20110119",NULL,"1","2014-02-10 15:45:59","0"
"{715AE270-1B20-4032-9901-4A4B38271D50}","000810.SZ","000810.SZ","b106020500","20130603","20150430","0","2015-05-04 09:58:52","0"
"{715DB928-20E1-4160-86BC-718E9AE35889}","300278.SZ","300278.SZ","b10a030200","20111219","20191201","0","2020-02-10 17:37:54","0"
"{715E2214-FC86-4304-9B77-CE7D0B5D4A33}","300486.SZ","300486.SZ","b10a020300","20150701",NULL,"1","2015-07-02 15:33:15","0"
"{716261F7-1F38-496A-825E-C911842F2791}","600185.SH","600185.SH","b10n010100","20120903",NULL,"1","2012-09-03 10:23:21","0"
"{7168980D-64BF-4A88-8C4D-B4697D3F97E7}","002312.SZ","002312.SZ","b10r010200","20091217",NULL,"1","2014-02-10 15:43:16","0"
"{716CD555-6DEF-4ABD-B5CB-4000768AC23F}","000637.SZ","000637.SZ","b101020100","20030101",NULL,"1","2014-02-10 15:43:16","0"
"{71A61DC1-2A62-4E7A-82E9-177DF0C1F0F7}","600896.SH","600896.SH","b10o030100","20030101","20180606","0","2018-06-06 15:16:14","0"
"{71A72962-3166-4971-99DB-4FDA7336372D}","300271.SZ","300271.SZ","b10r020200","20111026","20120427","0","2012-05-04 17:18:50","0"
